tconst,omdb_title,omdb_directors,omdb_writers,wikidata_title,wikidata_directors,wikidata_writers
tt0175890,"Margarita, Armando y su padre",Francisco Múgica,Enrique Jardiel Poncela; Francisco Múgica,"Margarita, Armando y su padre",Francisco Múgica,\N
tt0177152,Something Organic,Bertrand Bonello,Bertrand Bonello,Quelque chose d'organique,Bertrand Bonello,Bertrand Bonello
tt0178867,Brook,Luis Moglia Barth,José Bustamante Balliban; Luis Moglia Barth,Riachuelo,Luis Moglia Barth,\N
tt0180047,Perjurer,Raphael J. Sevilla,Marco Aurelio Galindo; Antonio Guzmán Aguilera,Perjura,Raphael J. Sevilla,\N
tt0180316,Women Talking Dirty,Coky Giedroyc,Isla Dewar,Women Talking Dirty,Coky Giedroyc,\N
tt0180748,In China They Eat Dogs,Lasse Spang Olsen,Anders Thomas Jensen,In China They Eat Dogs,Lasse Spang Olsen,Anders Thomas Jensen
tt0181641,Köyde Bir Kiz Sevdim,Türker Inanoglu,M. Cetinkaya,Köyde Bir Kız Sevdim,Türker İnanoğlu,\N
tt0182358,La parte più appetitosa del maschio,Lorenzo Magnolia,Giovanni Simonelli,\N,\N,\N
tt0182793,Birakin Yasasinlar,Melih Gülgen,Melih Gülgen,Birakin Yasasinlar,\N,\N
tt0183306,Jinnah,Jamil Dehlavi,Akbar Ahmed; Jamil Dehlavi; Farrukh Dhondy,Jinnah,Jamil Dehlavi,Akbar S. Ahmed
tt0184537,The Goddess of Mercy,Won-shik Lim; Shin Sang-ok,Liuzhao Wang,The Goddess of Mercy,Shin Sang-ok; Lim Won-sick,Wong Lau-Chiu
tt0185439,Love Is Thicker Than Wine,Joseph Kuo,Yao Chiung; Chang-Po Liu,\N,\N,\N
tt0185852,Aladdin's Lamp,Natuk Baytan,Natuk Baytan (scenario),Q97210864,Natuk Baytan,\N
tt0187583,Vidas Solidárias,Moacyr Fenelon,Moacyr Fenelon; Paulo Machado; Arnaldo de Farias,Vidas Solidárias,Moacir Fenelon,\N
tt0187591,Wayfarer,Torben Skjødt Jensen,\N,\N,\N,\N
tt0187708,Bai mu mi zong zhang,Zhigang Feng,\N,\N,\N,\N
tt0187712,Beefcake,Thom Fitzgerald,Thom Fitzgerald; Valentine Hooven,Beefcake,Thom Fitzgerald,Thom Fitzgerald
tt0189091,Siempre te amaré,Leo Fleider,Jorge Falcón; Leo Fleider,Q18590676,Leo Fleider,\N
tt0189429,Clarice,Sean Kirby,\N,\N,\N,\N
tt0189896,Partners in Crime,Jim Travis,\N,\N,\N,\N
tt0191437,She's So Fine!,Henri Pachard,Dick Thomas,\N,\N,\N
tt0192086,La goutte de sang,Jean Epstein; Maurice Mariaud,Jules Mary,Q63271213,Maurice Mariaud; Jean Epstein,\N
tt0192612,"Simão, o Fantasma Trapalhão",Paulo Aragão,Renato Aragão,"Simão, o Fantasma Trapalhão",\N,\N
tt0194557,Xia shi zhui ming ke,Tseng-Chai Chang,\N,\N,\N,\N
tt0196155,Thousands of Miles,Derek Lebrero,Derek Lebrero,\N,\N,\N
tt0196220,"Das Wunder des Schneeschuhs, 2. Teil - Eine Fuchsjagd auf Skiern durchs Engadin",Arnold Fanck,Arnold Fanck,Fuchsjagd auf Skiern durchs Engadien,Arnold Fanck,Arnold Fanck
tt0196793,Night Wings,Demetrios Tsoulos,Demetrios Tsoulos,\N,\N,\N
tt0197047,Tonight,\N,\N,\N,\N,\N
tt0197121,"À nous deux, madame la vie",René Guissart; Yves Mirande,Yves Mirande,Q3576851,Yves Mirande; René Guissart,Yves Mirande
tt0197661,The Man Who Fell in Love with a Traffic Cone!,Andrew Hindle,Andrew Hindle,\N,\N,\N
tt0197811,Le rebelle,Adelqui Migliar,Martin Brown; Louise Long; Benno Vigny,The Rebel,Adelqui Migliar Icardi,\N
tt0199517,Campaign in Poland,Fritz Hippler; Leni Riefenstahl,\N,Feldzug in Polen,Fritz Hippler,\N
tt0201600,Esta É a Minha Casa,João Pedro Rodrigues,Amândio Coroado; João Pedro Rodrigues,\N,\N,\N
tt0202101,What Price Honesty?,Hao-Chuan Yuan,Kuang Ni; Hao-Chuan Yuan,What Price Honesty?,\N,\N
tt0202130,Yepeto,Eduardo Calcagno,Eduardo Calcagno; Roberto Cossa,Yepeto,Eduardo Calcagno,Roberto Cossa; Eduardo Calcagno
tt0202670,Vysokaya krov,Zygmunt Malanowicz; Viktor Turov,Ilya Kashafutdinov; Zygmunt Malanowicz; Viktor Turov,Q4129270,Zygmunt Malanowicz; Viktor Turov,Zygmunt Malanowicz; İlyä Käşafetdinef
tt0203677,Maruhi sei to seikatsu,Karl-Heinz Frank; Ryûichi Takamori,\N,Sex and Life,Ryūichi Takamori,Keiichirō Ryū
tt0205061,Feng qiu feng,Pingqian Li,\N,\N,\N,\N
tt0205593,Zhi ai qin peng,Sun-Fung Lee,\N,\N,\N,\N
tt0206380,A Woman of No Importance,Jean Choux,Charles Spaak; Oscar Wilde,A Woman of No Importance,Jean Choux,Charles Spaak
tt0206755,Folies anales,Jean Rollin,\N,\N,\N,\N
tt0207495,"Gold, Glory and Custer",George Waggner,Gerald Drayson Adams,\N,\N,\N
tt0208879,Cuba baila,Julio García Espinosa,\N,\N,\N,\N
tt0210259,Roi de Camargue,Jacques de Baroncelli,Jean Aicard; Henri Decoin,King of the Camargue,Jacques de Baroncelli,Henri Decoin
tt0212014,Bunny and Clod,Robert A. Poore,\N,\N,\N,\N
tt0214984,Neeya,Durai,\N,Neeya,Durai,P. Kalaimani
tt0215039,Past in Perspective,Adoor Gopalakrishnan,\N,\N,\N,\N
tt0215719,Dinner and a Movie,Lisa Kors,Lisa Kors,\N,\N,\N
tt0215987,Mera Karam Mera Dharam,Dulal Guha,Shafiq Ansari; Nabendu Ghosh; Raj Kumar Moitra,Mera Karam Mera Dharam,Dulal Guha,\N
tt0217460,Everything for Everybody,John Amero,\N,\N,\N,\N
tt0219038,A Ghost of a Chance,Gorton Hall,Gorton Hall,\N,\N,\N
tt0219646,Disco 9000,D'Urville Martin,Demetrius Johnson; John Poole; Roland S. Jefferson,\N,\N,\N
tt0219785,The History of Pornography,Bob Chinn,Bob Chinn,\N,\N,\N
tt0219856,Kinderen met een schisis,Hans Quatfass,\N,\N,\N,\N
tt0224426,"Yes or No, Jean-Guy Moreau",Michael Rubbo,Michael Rubbo; Jean-Guy Moreau; Jacqueline Barrette,"Yes or No, Jean-Guy Moreau",Michael Rubbo,\N
tt0225915,Guds børn,Karsten Baagø; Claus Klok,Claus Klok,Q20495381,Claus Klok; Karsten Baagø,Claus Klok; Karsten Baagø
tt0226752,Secret Book: Peeled Egg,Shôgorô Nishimura,Akane Shiratori,\N,\N,\N
tt0226993,Il lungo inverno,Ivo Barnabò Micheli,Ivo Barnabò Micheli,Il lungo inverno,Ivo Barnabò Micheli,Ivo Barnabò Micheli
tt0230174,"Eisai stin EOK, pathe gia tin EOK",Dimis Dadiras,Giorgos Mylonas,"You are in The EEC, Go for The EEC",Dimis Dadiras,\N
tt0230406,Kaule,Rainer Bär,Rainer Bär; Alfred Wellm,\N,\N,\N
tt0230788,Siraj,Bhupen Hazarika,\N,Siraj,Bhupen Hazarika,\N
tt0234669,Goodbye CP,Kazuo Hara,\N,Q140607455,Kazuo Hara,\N
tt0234732,Le silence des organes,Jean-Noël Christiani,\N,\N,\N,\N
tt0234772,Sonba Ane Roopba,Krishnakant,\N,\N,\N,\N
tt0236952,Adhipathi,Sibi Malayil,\N,\N,\N,\N
tt0237463,Mischa,David Vaisbord,Andrew Gardner; David Vaisbord,\N,\N,\N
tt0237475,Munda Bigra Jaye,Shamim Ara,Dabirul Hassan (dialogue),\N,\N,\N
tt0237923,Wild Sex of the Children of the Night,Levi Salgado,Levi Salgado,\N,\N,\N
tt0239501,Janjirne Jankare,Harshadrai Sakerlal Mehta,Chimanlal Luhar; Champsi Udeshi,Janjirne Jankare,Harshadrai Sakerlal Mehta,\N
tt0239963,Les sentiers du petit bonheur,Anne Lapied; Erik Lapied,Anne Lapied; Erik Lapied,Q108047649,Anne Lapied,\N
tt0240464,Dracula's Death,Károly Lajthay,Michael Curtiz; Károly Lajthay; Bram Stoker,Dracula's Death,Károly Lajthay,Károly Lajthay; Michael Curtiz
tt0242503,Har Har Gange,Babubhai Mistry,\N,\N,\N,\N
tt0242893,The Smut Peddler,William Rose,\N,\N,\N,\N
tt0244147,Shetskvetili simgera,Nikoloz Sanishvili; Frantisek Zácek; Frantisek Sádek,Konstantine Lortkipanidze; Albert Marencin; Nikoloz Sanishvili,Interrupted Song,Nikoloz Sanishvili; Frantisek Zácek,Albert Marenčin; Nikoloz Sanishvili; Konstantine Lortkipanidze
tt0244416,Babel 78,Plume Latraverse,\N,\N,\N,\N
tt0245027,Bænken,Per Fly,Kim Leona; Per Fly,The Bench,Per Fly,Per Fly; Kim Leona
tt0245852,Dakshayagnam,Kadaru Nagabhushanam,Arudra,Dakshayagnam,Kadaru Nagabhushanam,Aarudhra
tt0247495,Mahatma Kabirdas,A. Narayanan,\N,Mahatma Kabirdas,A. Narayanan,\N
tt0249108,The Recruit,Graham Baker,\N,\N,\N,\N
tt0249420,La buscona,Emilio Gómez Muriel,Alfredo Ruanova,La Buscona,Emilio Gómez Muriel,\N
tt0249845,No te dejaré nunca,Francisco Elías,\N,I Will Never Leave You,Francisco Elías Riquelme,\N
tt0251649,The Cuban Missile Crisis: 1962,\N,\N,\N,\N,\N
tt0252202,Afigisi/Peripeteia/Glossa/Siopi,Maria Gavala,Maria Gavala; Theodoros Soumas,Narration/Aventure/Langage/Silence,María Gavalá,\N
tt0252882,L'anello di Siva,Augusto Genina,\N,L'anello di Siva,Augusto Genina,Augusto Genina
tt0253143,Inek Saban,Osman F. Seden,Berrin Giz; Osman F. Seden,İnek Şaban,Osman F. Seden,\N
tt0253873,Utharam,V.K. Pavithran,M.T. Vasudevan Nair; Daphne Du Maurier,Utharam,V. K. Pavithran,M. T. Vasudevan Nair
tt0254099,The Anniversary Party,Alan Cumming; Jennifer Jason Leigh,Jennifer Jason Leigh; Alan Cumming,The Anniversary Party,Jennifer Jason Leigh; Alan Cumming,Jennifer Jason Leigh; Alan Cumming
tt0255204,Grihapravesham,L.V. Prasad,Tripuraneni Gopichand,\N,\N,\N
tt0255583,Secret Network,Jean-Claude Roy,\N,\N,\N,\N
tt0255641,Thalavattam,Priyadarshan,Priyadarshan,Thalavattam,Priyadarshan,Nedumudi Venu
tt0256164,Macha Rekai,P. Pullaiah,\N,Macha Rekai,P. Pullaiah,\N
tt0257459,Bruma Seca,Mário Civelli,Mário Brasini; Pola Civelli,Bruma Seca,Mario Civelli,\N
tt0258227,Sundara Kanda,K. Raghavendra Rao,Bhagyaraj; Paruchuri Venkateswara Rao; Gopalakrishna Paruchuri,Sundarakanda,K. Raghavendra Rao,K. Raghavendra Rao
tt0258251,Tierra sangrienta,Rafael Portillo,José Castro; Fernando Osés,\N,\N,\N
tt0259496,Pelli Kanuka,Kodi Ramakrishna,\N,Pelli Kanuka,Kodi Ramakrishna,Posani Krishna Murali
tt0261552,The Foul King,Kim Jee-woon,Kim Dae-woo; Kim Jee-woon,The Foul King,Kim Ji-woon,Kim Ji-woon
tt0263099,Bangaru Babu,Rajendra Prasad V.B.,Acharya Athreya; Rajendra Prasad V.B.,Bangaru Babu,V. B. Rajendra Prasad,Aathreya
tt0265542,Ploshchad Vosstaniya,Boris Tokarev,Boris Tokarev; Yuriy Yakovlev,Q131553147,Boris Tokarev,Boris Tokarev; Yuri Yakovlev
tt0265586,Pryzhok,Nikolai Maletsky,Yuriy Vizbor,Q85999221,Mykola Maletsky,Yuri Vizbor
tt0266711,Wild Criminal,Hide,Christopher Sippel,\N,\N,\N
tt0267274,"Architektuur, kunst der ruimte",Paul Haesaerts,\N,\N,\N,\N
tt0267951,Sringara Masa,Pattabhi Rama Reddy,\N,\N,\N,\N
tt0269883,Solo y conmigo,Carlos Lozano Dana,Carlos Lozano Dana,Q47211535,Carlos Lozano Dana,\N
tt0269986,Le trou du diable,Richard Lavoie,\N,The Devil's Hole,\N,\N
tt0271597,Kobbari Bondam,Raviteja K.,Diwakar Babu; S.V. Krishna Reddy,Kobbari Bondam,S. V. Krishna Reddy,S. V. Krishna Reddy
tt0272321,Thirrja,Fehmi Hoshafi,Kujtim Gjonaj,Thirrja,Fehmi Hoshafi,\N
tt0276295,Love After School,\N,\N,\N,\N,\N
tt0279866,Historia de un canalla,Julio Bracho,Julio Bracho; José María Fernández Unsáin; Federico Sodi,History of a Scoundrel,Julio Bracho,José María Fernández Unsáin; Federico Sodi Romero; Julio Bracho
tt0279903,Kinali Yapincak,Orhan Aksoy,Bülent Oran,Kinali Yapincak,Orhan Aksoy,Bülent Oran
tt0281160,Salaheddine el Ayubbi,Ibrahim Lama,\N,\N,\N,\N
tt0281200,Situation du théâtre au Québec,Jacques Gagné,Jacques Gagné,\N,\N,\N
tt0283027,The Pool,Boris von Sychowski,Lorenz Stassen; Boris von Sychowski; Andreas Bütow,Swimming Pool,Boris von Sychowski,Lorenz Stassen
tt0287449,Les frères Gravet,René Féret,René Féret,Q3232816,René Féret,\N
tt0287540,De läckra skaldjuren,Pauline Brunius,\N,Q10467387,Pauline Brunius,Lars Tessing
tt0288863,Veinticuatro horas de vida,Arturo Martínez,Manuel Canseco Noriega; Raúl de Anda,\N,\N,\N
tt0291888,Enikkum Oru Divosam,Shrikumaran Thampi,Sreekumaran Thampi,Enikkum Oru Divasam,Sreekumaran Thampi,Sreekumaran Thampi
tt0295428,Mataron a Venancio Flores,Juan Carlos Rodríguez Castro,Rolando Speranza,\N,\N,\N
tt0298210,Virgins,Glenn Mobley,Glenn Mobley; Tom Rule,\N,\N,\N
tt0301348,Der Glanz von Berlin,Judith Keil; Antje Kruska,\N,\N,\N,\N
tt0302801,Mikkel,Jørgen Roos; Carl Weismann,Jørgen Roos; Carl Weismann,Q33550357,Carl Weismann; Jørgen Roos,Carl Weismann; Jørgen Roos
tt0304901,A Village Tale,Joy Perino,\N,\N,\N,\N
tt0304981,Ölümün ücreti,Cevat Sahiner; Feyzi Tuna,\N,\N,\N,\N
tt0306079,Små ulykker,Annette K. Olesen,Kim Fupz Aakeson,Minor Mishaps,Annette K. Olesen,Kim Fupz Aakeson
tt0307297,Otte hundrede akkorder,\N,\N,\N,\N,\N
tt0308503,La ley del monte,Alberto Mariscal,Pedro Antonio de Alarcón; Rafael García Travesi,La ley del monte,Alberto Mariscal,\N
tt0311360,Wet Grass and Leaves,Jeong-su Lim,\N,\N,\N,\N
tt0311790,Wedding Day,Eung-cheon Kim,Yeong-jin Oh,\N,\N,\N
tt0312957,Med prins Wilhelm på afrikanska jaktstigar,\N,\N,Q18244308,"Prince Wilhelm, Duke of Södermanland",\N
tt0313962,Derzost,Georgi Yungvald-Khilkevich,Vasil Zemlyak,Derzost,Georgi Yungvald-Khilkevich,Vasyl Zemlyak
tt0314513,La pistolera,Mario Hernández,Rafael Buendía; Jorge Patiño,\N,\N,\N
tt0316158,Lasset die Kleinen zu mir kommen,Max Neufeld,Fritz Löhner-Beda,Let the Little Ones Come to Me,Max Neufeld,\N
tt0318792,Unser Mann aus Cernowitz,Peter Leippe,Peter Leippe,\N,\N,\N
tt0322098,Du yeobu,Hyun-mok Yoo,Bong-seung Shin,Two Husbands,Yu Hyun-mok,\N
tt0322922,The Bloody Money,Orhon M. Ariburnu,Orhon M. Ariburnu; Safa Önal (story),The Bloody Money,Orhon Murat Arıburnu,\N
tt0323153,Makchalo on sannimdeul,Yu Hyun-mok,Seong-won Hong,Guests Who Arrived on the Last Train,Yu Hyun-mok,\N
tt0323998,Slim Susie,Ulf Malmros,Ulf Malmros; Petteri Nuottimäki,Slim Susie,Ulf Malmros,Ulf Malmros
tt0325852,La mujer y el jockey (Hipódromo),José Suárez,Antonio Botta,La Mujer y el jockey,José Suárez,Antonio Botta
tt0330028,Balgan aengdu 2,Ho-tae Park,Seong-su Heo,Red Cherry 2,Park Ho-tae,\N
tt0333827,Les louves,Robert Boudrioz,Robert Boudrioz,\N,\N,\N
tt0338312,Orient - Die Tochter der Wüste,Gennaro Righelli,Nunzio Malasomma; Gennaro Righelli,Orient,Gennaro Righelli,Gennaro Righelli; Nunzio Malasomma
tt0345495,Kara atmaca'nin intikami,Nisan Hançer,Suavi Sualp,\N,\N,\N
tt0345527,Kongresi i unifikimit të rinisë,\N,\N,\N,\N,\N
tt0347083,Un giudice di rispetto,Walter Toschi,Bruno Mattei,Q4003877,Bruno Mattei,Bruno Mattei
tt0348476,Yuen ban yau take 2,Marco Mak,Sharon Hui,Love Correction,Marco Mak,\N
tt0349890,Një jetë më shumë,Gëzim Erebara; Gavrosh Haxhihyseni,Gëzim Erebara; Luan Rama,Një jetë më shumë,Gëzim Erebara,\N
tt0350671,Byeolnan janggungwa paldobuha,Shin-myeong Lee,Bong-seung Shin,The Eccentric General and His Men,\N,\N
tt0351155,Kaderim böyle imis,Nejat Saydam,Hüseyin Peyda,\N,\N,\N
tt0353010,Witness,Viji Thampi,Jagathy Sreekumar; Ranjith; Viji Thampi,Witness,Viji Thampi,Ranjith
tt0353837,His Cavalryman,Nusret Eraslan,Nusret Eraslan,\N,\N,\N
tt0353922,Puthran,Jude Attippatti,P.F. Mathews,Puthran,Jude Attipetty,P. F. Mathews
tt0354950,Sweets,Marq Morrison; Ren Morrison,Ren Morrison,\N,\N,\N
tt0355586,Ismail Yassine lal baie,Houssam El-Din Mustafa,Kamal Hefnawi,Q12182266,Hosameldin Mostafa,\N
tt0358754,Why?,No-shik Park,Il-su Yu,\N,\N,\N
tt0365422,Laguna Beach: A Love Affair,Thor Stephens,Beau Wade (additional dialogue),\N,\N,\N
tt0365663,Punla,Robert B. Abihay; Cesar Aquino,Dennis C. Evangelista; Karlo Montero,\N,\N,\N
tt0365907,A Walk Among the Tombstones,Scott Frank,Lawrence Block; Scott Frank,A Walk Among the Tombstones,Scott Frank,Lawrence Block; Scott Frank
tt0366295,Chatpati,V. Ravindra,\N,Chatpati,V. Ravindra,\N
tt0367450,...Y pasa la comparsa,Albert Arliss,\N,...Y pasa la comparsa,Albert Arliss,\N
tt0367794,Getting Out of Rhode Island,Christian de Rezendes,\N,\N,\N,\N
tt0370469,Dobol trobol,Jose De Villa,\N,\N,\N,\N
tt0371950,Den sidste dag,Michael Heimark,Michael Heimark; Jakob Mikkelsen,Q20756112,Michael Heimark,Michael Heimark
tt0373996,Letter TV - ST,Jamie Cope; Frank Panucci,\N,\N,\N,\N
tt0374890,Musmos,Jose Dagumboy,Bert Dueñas Jr. (story),\N,\N,\N
tt0377458,\N,\N,\N,\N,\N,\N
tt0378993,Votre enfant m'intéresse,Jean-Michel Carré,Patricia Agostini; Jean-Michel Carré; Nicolas Sandret,Q60218878,Jean-Michel Carré,\N
tt0379168,Amar Shaheed,\N,\N,Bhaktha Kabiru,\N,\N
tt0379272,Ek Jaan Hain Hum,Rajiv Mehra,\N,Ek Jaan Hain Hum,\N,\N
tt0380697,Seine Beichte (Bekenntnisse eines Lebemannes),Hubert Moest,Bobby E. Lüthge; Jolanthe Marés,Q56760302,Hubert Moest,Bobby E. Lüthge
tt0384369,Before the Fall,Dennis Gansel,Dennis Gansel; Maggie Peren,Before the Fall,Dennis Gansel,Maggie Peren; Dennis Gansel
tt0385541,Bazilari dayak sever,Mehmet Dinler,Bülent Oran; Osman F. Seden,\N,\N,\N
tt0387666,Die verschwundene Stadt Dresden,C.A. Engel,C.A. Engel,Q139950790,Curt A. Engel,Curt A. Engel
tt0389801,Bhogi mantalu,Vijaya Nirmala,\N,\N,\N,\N
tt0391936,The Poisonous Butterfly,Muk Kim,Kang-yun Kim,\N,\N,\N
tt0392493,Naseeb Ni Nauka,\N,\N,Naseeb Ni Nauka,\N,\N
tt0392716,Rit Angtong,Prafulla Saikia,\N,\N,\N,\N
tt0393360,Homenaje de la ciudad de México a la primavera,Germán Camus,\N,\N,\N,\N
tt0393790,Sneh Samadhi,Ramakant Gharekhan,Surabhi Raiji,Sneh Samadhi,Ramakant Gharekhan,\N
tt0397526,Majimak gyeoul,So-yeong Jeong,Su-hyeon Kim,\N,\N,\N
tt0398721,L'aveuglette,Stéphane Aucante,\N,Q29414100,Stéphane Aucante,\N
tt0398727,The March of Fools,Ha Gil-jong,In-ho Choi,The March of Fools,Ha Gil-jong,\N
tt0402763,Americanese,Eric Byler,Shawn Wong; Eric Byler,Americanese,Eric Byler,Eric Byler
tt0407914,Kahit mabuhay kang muli,Efren C. Piñon,\N,\N,\N,\N
tt0409505,The Beloved,Deddy M. Borhan,Deddy M. Borhan,\N,\N,\N
tt0410540,Sa piling ng iba,Johnny Cruz,Bong Ramos,\N,\N,\N
tt0412863,Der Irrgarten,Heinz Brinkmann,Heinz Brinkmann,Q57517272,Heinz Brinkmann,Heinz Brinkmann
tt0414939,The Dark Side of Everest,Andrew Palmer,Zam Baring; Brian Dooley,\N,\N,\N
tt0418018,It's Not Me,Gabriele Iacovone,Alexandra Emelianova (idea); Gabriele Iacovone (idea); Gabriele Iacovone (screenplay); Gabriele Iacovone (story); Franco de Pena (idea),It's Not Me,\N,\N
tt0418342,Yot sarits ayn koghm,Arnold Agababov,Arnold Agababov; Ye. Grigoryants,Q20509487,Arnold Agababov,\N
tt0418686,Fino a farti male,Alessandro Colizzi,Alessandro Colizzi; Silvia Cossu,Q3745749,Alessandro Colizzi,Alessandro Colizzi
tt0419221,Tuloy ang ligaya,Manuel Silos,\N,\N,\N,\N
tt0420120,Reservation-Mike Goes Home,David Cherniack,\N,\N,\N,\N
tt0422313,Geomeun ggotip childae,Beom-gu Kang,Kyeong-jae Lee,When Black Flowers Fade,\N,\N
tt0422396,Hanggang may buhay,Pepe Marcos,Humilde 'Meek' Roxas (story); Humilde 'Meek' Roxas (screenplay); Jun Lawas (screenplay); Jose Bartolome (screenplay),\N,\N,\N
tt0424861,Bono,Adam Zayed,Adam Zayed,\N,\N,\N
tt0425583,Uhaw,Ruben Abalos,D.G. Dumaraos; Deo Villegas,\N,\N,\N
tt0427412,Juhong skirt,Bong-rae Lee,Yong-chan Lee,\N,\N,\N
tt0428304,C'est pas tout à fait la vie dont j'avais rêvé,Michel Piccoli,Ludivine Clerc; Michel Piccoli,C'est pas tout à fait la vie dont j'avais rêvé,Michel Piccoli,\N
tt0431645,Downtown Girls,Mohamed Khan,Mohamed Khan; Wessam Soliman,Midtown Girls,Mohamed Khan,Mohamed Khan
tt0432692,On Each Side,Hugo Grosso,Hugo Grosso,\N,\N,\N
tt0434164,Loving the Dead,Mira Hamermesh,Mira Hamermesh,Q135223136,Mira Hamermesh,\N
tt0434997,Hayat kavgasi,Mehmet Bozkus,Bülent Oran,Q6047294,Mehmet Bozkuş,Bülent Oran
tt0436689,The Puffy Chair,Jay Duplass; Mark Duplass,Mark Duplass; Jay Duplass,The Puffy Chair,Mark Duplass; Jay Duplass,\N
tt0437876,Les bobines d'or,Léonce Perret,\N,Q3231070,Léonce Perret,\N
tt0443207,Rita,Édouard-Émile Violet,\N,\N,\N,\N
tt0448826,Die Tänzerin Adina,Max Mack,\N,\N,\N,\N
tt0451741,"Der gelbe Tod, 1. Teil",Carl Wilhelm,Hans Gaus,The Yellow Death,Carl Wilhelm,Hans Gaus
tt0452319,Manatsu no chikyu,Osamu Murakami,Yuhei Enoki; Osamu Murakami,Manatsu no Chikyū,\N,\N
tt0453040,Dubai,Rory B. Quintos,Ricky Lee; Shaira Mella Salvador,Dubai,Rory Quintos,Ricky Lee
tt0455870,Xing dao fang zong,Rolf Bayer,\N,\N,\N,\N
tt0456591,Pepot Artista,Clodualdo Del Mundo Jr.,Clodualdo Del Mundo Jr.,\N,\N,\N
tt0459880,Lady Chatterley,Pascale Ferran,D.H. Lawrence; Roger Bohbot; Pascale Ferran,Lady Chatterley,Pascale Ferran,Roger Bohbot; Pierre Trividic; Pascale Ferran
tt0471251,Mama Jack,Gray Hofmeyr,Steven Francis; Gray Hofmeyr; Geoff Newton,Mama Jack,Gray Hofmeyr,\N
tt0471357,Red Mercury,Steve Rogers,Jonathan Reason (screenplay); Steve Rogers (screenplay),\N,\N,\N
tt0473647,Hedy Lamarr: Secrets of a Hollywood Star,Donatello Dubini; Fosco Dubini; Barbara Obermaier,Fosco Dubini; Barbara Obermaier,Hedy Lamarr - Secrets of a Hollywood Star,Fosco Dubini; Donatello Dubini; Barbara Obermaier,\N
tt0478370,Kerem ile Asli,Orhan Elmas,Orhan Elmas,Kerem İle Aslı,Orhan Elmas,\N
tt0480106,"Besarabiya, My Love",Vasil Barkov,Vasil Barkov,\N,\N,\N
tt0480163,Komornik,Feliks Falk,Grzegorz Loszewski,The Collector,Feliks Falk,Grzegorz Łoszewski
tt0482006,"Macbeth 3000: This Time, It's Personal",Geoff Warren Meech,Logan Emmerson; William Shakespeare,\N,\N,\N
tt0483614,"Estanislao Zuleta, biografía de un pensador",José Antonio Dorado,José Antonio Dorado,\N,\N,\N
tt0488186,Remedios de Cuba: Scuba Drive,Isaac-Pierre Racine,Isaac-Pierre Racine; Manuel Rodríguez,\N,\N,\N
tt0488762,Mr. Socrates,Jin-won Choi,\N,Mr. Socrates,Choi Jin Won,\N
tt0491534,Cañitas. Presencia,Julio Cesar Estrada,Gabriel González Meléndez; Xavier Robles; Carlos Trejo,Cañitas. Presencia,Julio Cesar Estrada,\N
tt0494726,Isang salop na bala,Alex Sevilla,Alex Sevilla,\N,\N,\N
tt0495031,Fundacja,Filip Bajon,Filip Bajon,Q11699027,Filip Bajon,Q21839509
tt0762091,Domestic Import,Kevin Connor,Andrea Malamut,Domestic Import,Kevin Connor,\N
tt0775434,Bling: A Planet Rock,Raquel Cepeda,Raquel Cepeda,\N,\N,\N
tt0779719,107 Street,Antonio De La Cruz,Antonio De La Cruz,\N,\N,\N
tt0779739,Maa Pallelo Gopaludu,Kodi Ramakrishna,\N,Maa Pallelo Gopaludu,Kodi Ramakrishna,\N
tt0780073,Los maistros albañiles,Víctor Manuel Castro,Víctor Manuel Castro,\N,\N,\N
tt0780130,Sa kabila ng bukas,Consuelo P. Osorio,\N,Sa Kabila ng Bukas,Consuelo Padilla Osorio,\N
tt0787126,Prinsesa ng kumintang,Gerardo de Leon,\N,\N,\N,\N
tt0788214,Siya'y aking anak,Carlos Padilla Sr.,\N,\N,\N,\N
tt0791202,Victim & Victor,David C. Lewis,Daniel Cohen,Victim & Victor,\N,\N
tt0823548,La tranca,Alexandra Henao,Alexandra Henao,\N,\N,\N
tt0824279,Absence,Kevin Kölsch; Dennis Widmyer,Kevin Kölsch; Dennis Widmyer,\N,\N,\N
tt0829421,The American Poop Movie,Joe Kingsley,Joe Kingsley,\N,\N,\N
tt0831341,Sinner,Marc Benardout,Steven Sills,Sinner,Marc Benardout,Steven Sills
tt0842623,Rio Reiser - König von Deutschland,Stefan Paul,\N,\N,\N,\N
tt0843592,Prinsipe Amante,Lamberto V. Avellana; W.H. Smith,Clodualdo Del Mundo Sr.,\N,\N,\N
tt0869112,New Girl,Charles Ison,Dick Callister,\N,\N,\N
tt0873600,Das Erbe der Bergler,Erich Langjahr,Erich Langjahr,Das Erbe der Bergler,Erich Langjahr,Erich Langjahr
tt0891303,Ghesse-haye yek zendegi,Hassan Hedayat,Hassan Hedayat; Sadegh Hedayat,\N,\N,\N
tt0899255,Russia from My Window,Victor Kossakovsky,\N,\N,\N,\N
tt0912592,My Kid Could Paint That,Amir Bar-Lev,\N,My Kid Could Paint That,Amir Bar-Lev,Amir Bar-Lev
tt0923621,Boku no Tôkyô-chizu,Masanori Igayama,Hideo Oguni; Hachirô Satô (story); Kenta Yamazaki,\N,\N,\N
tt0925241,Il giogo,Gaston Ravel,\N,\N,\N,\N
