tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers,cinemeta_title,cinemeta_directors,cinemeta_writers,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0141874,passion,gyorgy feher,bela tarr; gyorgy feher,passion,gyorgy feher,bela tarr; gyorgy feher,passion,gyorgy feher,\N,passion,gyorgy feher,bela tarr; gyorgy feher
tt0142288,\N,\N,\N,\N,\N,\N,la fille du pecheur,robert peguy,\N,\N,\N,\N
tt0143437,charlotte wets her panties,francis leroi,francis leroi,looking good,francis leroi,\N,"charlotte, mouille ta culotte",francis leroi,francis leroi,\N,\N,\N
tt0143520,\N,\N,\N,\N,\N,\N,lust with the stranger,vinnie rossi,\N,\N,\N,\N
tt0143737,\N,\N,\N,\N,\N,\N,mitzi's honor,fred j lincoln,e peter regis,\N,\N,\N
tt0144117,the boondock saints,troy duffy,troy duffy,the boondock saints,troy duffy,troy duffy,the boondock saints,troy duffy,troy duffy,the boondock saints,troy duffy,troy duffy
tt0144442,\N,\N,\N,\N,\N,\N,naughty schoolgirls revenge,george harrison marks,\N,\N,\N,\N
tt0144608,sinbad: beyond the veil of mists,alan jacobs; evan ricks,jeff wolverton,sinbad: beyond the veil of mists,alan jacobs,\N,sinbad: beyond the veil of mists,alan jacobs; evan ricks,gregory davis; jeff wolverton; robert jay litz,sinbad: beyond the veil of mists,alan jacobs; evan ricks,jeff wolverton
tt0144778,ava & gabriel: a love story,felix de rooy,felix de rooy; norman de palm,\N,\N,\N,ava & gabriel: a love story,felix de rooy,\N,ava & gabriel: a love story,felix de rooy,norman de palm
tt0144933,\N,\N,\N,\N,\N,\N,found guilty,\N,\N,\N,\N,\N
tt0145254,out of phoenix bridge,li hong,\N,out of phoenix bridge,hong li,\N,out of phoenix bridge,li hong,\N,out of phoenix bridge,li hong,\N
tt0145814,heaven sent,craig clyde,craig clyde; james hennessy,heaven sent,craig clyde,craig clyde; james hennessy,heaven sent,craig clyde,craig clyde; james hennessy,heaven sent,craig clyde,craig clyde; james hennessy
tt0146237,restless passion,hal freeman,philip dennis connors,\N,\N,\N,restless passion,hal freeman,\N,restless passion,hal freeman,philip dennis connors
tt0146281,the end of milton levy,nissim dayan,nissim dayan,sofo shel milton levi,nissim dayan,nissim dayan,the end of milton levy,nissim dayan,\N,the end of milton levy,nissim dayan,nissim dayan
tt0146329,two off the cuff,bob godfrey,stan hayward,two off the cuff,\N,\N,two off the cuff,bob godfrey,\N,two off the cuff,bob godfrey,stan hayward
tt0147216,\N,\N,\N,\N,\N,\N,revenge by lust,mark novick,mark novick,\N,\N,\N
tt0147643,unbowed,nanci rossov,mildred lewis,\N,\N,\N,unbowed,nanci rossov,\N,unbowed,nanci rossov,mildred lewis
tt0148245,\N,\N,\N,\N,\N,\N,gore gabor,\N,\N,\N,\N,\N
tt0148445,\N,\N,\N,\N,\N,\N,magyarorszagtol a marsig,gyula darab,\N,\N,\N,\N
tt0148462,men cry bullets,tamara hernandez,tamara hernandez,men cry bullets,\N,\N,men cry bullets,tamara hernandez,\N,men cry bullets,tamara hernandez,tamara hernandez
tt0148812,she's no angel,ron jeremy,\N,\N,\N,\N,she's no angel,ron jeremy,\N,\N,\N,\N
tt0148891,6 faces of samantha,jack genero,\N,\N,\N,\N,6 faces of samantha,jack genero,\N,6 faces of samantha,jack genero,\N
tt0148894,\N,\N,\N,\N,\N,\N,six nine love,sv hanna,\N,\N,\N,\N
tt0149026,brides of lucifer,\N,\N,\N,\N,\N,brides of lucifer,\N,\N,brides of lucifer,\N,\N
tt0149652,\N,\N,\N,\N,\N,\N,"amerika, london, parizs",katalin pazmandy,\N,\N,\N,\N
tt0150892,her great price,edwin carewe,florence auer,her great price,edwin carewe,june mathis,\N,\N,\N,her great price,edwin carewe,june mathis
tt0151405,lucerna,karel lamac,bohumir polach; frantisek kozik; vaclav wasserman,the lantern,karel lamac,bohumir polach; frantisek kozik; vaclav wasserman,\N,\N,\N,lucerna,karel lamac,bohumir polach; frantisek kozik; vaclav wasserman
tt0151805,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
tt0151856,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
tt0151990,a night in tiberias,herve bromberger,david greenberg; frederic grendel; herve bromberger,un soir a tiberiade,herve bromberger,\N,a night in tiberias,herve bromberger,\N,a night in tiberias,herve bromberger,david greenberg; frederic grendel; herve bromberger
tt0152074,principe coronato cercasi per ricca ereditiera,giovanni grimaldi,giovanni grimaldi,principe coronato cercasi per ricca ereditiera,giovanni grimaldi,giovanni grimaldi,principe coronato cercasi per ricca ereditiera,giovanni grimaldi,\N,principe coronato cercasi per ricca ereditiera,giovanni grimaldi,giovanni grimaldi
tt0152252,the times that are,pierre perrault,\N,the times that are,pierre perrault,\N,the times that are,pierre perrault,\N,the times that are,pierre perrault,\N
tt0152443,\N,\N,\N,the silver greyhound,bannister merwin,bannister merwin,the silver greyhound,bannister merwin,bannister merwin,\N,\N,\N
tt0153032,this year's love,david kane,david kane,this year's love,david kane,\N,this year's love,david kane,\N,this year's love,david kane,david kane
tt0153165,\N,\N,\N,\N,\N,\N,tongues of fire,janus rainer,\N,\N,\N,\N
tt0153292,\N,\N,\N,\N,\N,\N,"trillium, affectionately yours",brian rr hebb,brian rr hebb,\N,\N,\N
tt0153297,\N,\N,\N,\N,\N,\N,triple play 15: cumming together,\N,\N,\N,\N,\N
tt0153534,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
tt0154241,the blue ones of the sky,henri decoin,henri decoin,\N,henri decoin,\N,the blue ones of the sky,henri decoin,\N,the blue ones of the sky,henri decoin,henri decoin
tt0155086,\N,\N,\N,rajani,\N,\N,rajani,jyotish bannerjee,\N,\N,\N,\N
tt0155401,\N,\N,\N,\N,\N,\N,yeh such hai,atma ram,\N,\N,\N,\N
tt0155685,trouble among widows,jacques poitrenaud,\N,trouble among widows,jacques poitrenaud,denys de la patelliere,trouble among widows,jacques poitrenaud,\N,trouble among widows,jacques poitrenaud,albert simonin; denys de la patelliere
tt0155994,\N,\N,\N,\N,\N,\N,a quilt of many cultures: south india,shyam benegal,\N,\N,\N,\N
tt0156432,the court dancer: raj nartaki,modhu bose,manmatha ray; modhu bose,raj nartaki,madhu,\N,the court dancer: raj nartaki,modhu bose,\N,the court dancer: raj nartaki,modhu bose,manmatha ray; modhu bose
tt0156702,dream land,vijay bhatt,\N,khwab ki duniya,vijay bhatt,\N,dream land,vijay bhatt,\N,dream land,vijay bhatt,\N
tt0156704,\N,\N,\N,\N,\N,\N,khyber falcon,madhu bose; modhu bose,niranjan pal,\N,\N,\N
tt0157479,the conquest of canaan,george irving,\N,the conquest of canaan,george irving,\N,the conquest of canaan,george irving,\N,the conquest of canaan,george irving,anthony paul kelly
tt0157581,enga veettu pillai,tapi chanakya,d v narasa raju; sakthi t k krishnasamy,enga veettu pillai,tapi chanakya,sakthi t k krishnasamy,enga veettu pillai,tapi chanakya,\N,enga veettu pillai,tapi chanakya,sakthi t k krishnasamy
tt0157607,extravagance,burton l king,aaron hoffman; wallace clifton,extravagance,burton l king,\N,extravagance,burton l king,\N,extravagance,burton l king,wallace clifton
tt0157880,\N,\N,\N,\N,\N,\N,kamale kamini,nirmal goswami; phani burma,\N,\N,\N,\N
tt0158457,afsana,br chopra,is johar,afsana,baldev raj chopra,i s johar,afsana,br chopra,\N,afsana,br chopra,is johar
tt0158462,amore mio,raffaello matarazzo,raffaello matarazzo,\N,raffaello matarazzo,\N,amore mio,raffaello matarazzo,\N,amore mio,raffaello matarazzo,raffaello matarazzo
tt0158464,anath ashram,hemchandra chunder,kidar nath sharma,\N,\N,\N,anath ashram,hemchandra chunder,\N,anath ashram,hemchandra chunder,kidar nath sharma
tt0158736,the fast set,pierre foucaud,alice colanis,mademoiselle strip-tease,pierre foucaud,\N,\N,\N,\N,the fast set,pierre foucaud,alice colanis
tt0159101,out of the cold,aleksandr buravskiy,aleksandr buravskiy; alex kustanovich,\N,\N,\N,out of the cold,aleksandr buravskiy,\N,out of the cold,aleksandr buravskiy,aleksandr buravskiy; alex kustanovich
tt0159434,the faking of the president,alan abel; jeanne abel,alan abel; jeanne abel; murray hurwitz,\N,\N,\N,the faking of the president,alan abel; jeanne abel,\N,the faking of the president,alan abel; jeanne abel,alan abel; jeanne abel; murray hurwitz
tt0159495,\N,\N,\N,jakko,fritz peter buch,fritz peter buch,jakko,fritz peter buch,\N,jakko,fritz peter buch,\N
tt0160596,with or without you,michael winterbottom,john forte,with or without you,michael winterbottom,john forte,with or without you,michael winterbottom,john forte,with or without you,michael winterbottom,john forte
tt0160830,sergeant x,vladimir strizhevsky,a loukine; vladimir strizhevsky,sergeant x,vladimir strizhevsky,\N,sergeant x,vladimir strizhevsky,\N,sergeant x,vladimir strizhevsky,a loukine; simon gantillon; vladimir strizhevsky
tt0161215,"a volar, joven!",miguel m delgado,miguel m delgado; paul colline,"fly away, young man!",miguel m delgado,jaime salvador,a volar joven!,miguel m delgado,jaime salvador; miguel m delgado; paul colline,"a volar, joven!",miguel m delgado,jaime salvador; miguel m delgado
tt0161378,carnevalesca,amleto palermi,lucio dambra,carnevalesca,amleto palermi,lucio dambra,carnevalesca,amleto palermi,\N,carnevalesca,amleto palermi,lucio dambra
tt0161927,\N,\N,\N,\N,\N,\N,praias de portugal,\N,\N,\N,\N,\N
tt0163131,the other girl,percy winter,\N,\N,\N,\N,the other girl,percy winter,\N,the other girl,percy winter,george dubois proctor
tt0163207,\N,\N,\N,\N,\N,\N,seiukusha,\N,\N,\N,\N,\N
tt0163623,fata morgana,elefterie voiculescu,florian grecea; ion grecea,fata morgana,\N,\N,fata morgana,elefterie voiculescu,\N,fata morgana,elefterie voiculescu,florian grecea; ion grecea
tt0163629,\N,\N,\N,\N,\N,\N,las fisgonas de paso ancho,alfredo catania,samuel rovinsky,\N,\N,\N
tt0164064,\N,\N,\N,\N,\N,\N,hell worms,\N,\N,hell worms,\N,\N
tt0164857,\N,\N,\N,ruslan and ludmila,\N,\N,ruslan i lyudmila,oleg grigorovich,mikhail glinka,\N,\N,\N
tt0165100,the telephone bar,claude barrois,claude neron,le bar du telephone,claude barrois,claude neron,le bar du telephone,claude barrois,claude neron,the telephone bar,claude barrois,claude neron
tt0165612,alf's baby,maclean rogers,ap dearsley,alf's baby,maclean rogers,\N,her three bachelors,maclean rogers,ap dearsley,alf's baby,maclean rogers,ap dearsley
tt0165655,grease rock,michele massimo tarantini,alessandro capone; michele massimo tarantini; pino pellegrino,disco crazy,michele massimo tarantini,alessandro capone,grease rock,michele massimo tarantini,\N,grease rock,michele massimo tarantini,alessandro capone; michele massimo tarantini; pino pellegrino
tt0165753,emily's ghost,colin finbow,colin finbow,\N,\N,\N,emily's ghost,colin finbow,\N,emily's ghost,colin finbow,colin finbow
tt0165846,kill the man,jon kean; tom booker,jon kean; tom booker,kill the man,tom booker,\N,kill the man,jon kean; tom booker,\N,kill the man,jon kean; tom booker,jon kean; tom booker
tt0166151,la grande ora: concilio ecumenico vaticano ii,antonio petrucci,\N,\N,\N,\N,la grande ora: concilio ecumenico vaticano ii,antonio petrucci,\N,la grande ora: concilio ecumenico vaticano ii,antonio petrucci,\N
tt0166233,when the dead start singing,krsto papic,krsto papic; mate marisic,when the dead start singing,krsto papic,krsto papic; mate matisic,kad mrtvi zapjevaju,krsto papic,krsto papic; mate matisic,when the dead start singing,krsto papic,krsto papic; mate marisic
tt0166647,\N,\N,\N,hleda se tata,frank daniel,frank daniel,hleda se tata!,frantisek daniel,\N,hleda se tata!,frantisek daniel,bohumira peychlova; frantisek daniel
tt0166873,watch beverly,arthur maude,john cousins; nw baringpemberton,watch beverly,arthur maude,\N,watch beverly,arthur maude,\N,watch beverly,arthur maude,john cousins; nw baringpemberton
tt0166948,\N,\N,\N,the adventures of the american rabbit,fred wolf,\N,the adventures of the american rabbit,fred wolf; nobutaka nishizawa,\N,the adventures of the american rabbit,fred wolf; nobutaka nishizawa,norm lenzer
tt0167290,misty,toshiharu ikeda,masahito kagawa; toshiharu ikeda,\N,\N,\N,misty,toshiharu ikeda,\N,misty,toshiharu ikeda,masahito kagawa; toshiharu ikeda
tt0168205,taken alive,philip marcus,bobb hopkins; christopher holmes; donna jeffries; franco columbu,taken alive,philip marcus,\N,taken alive,philip marcus,\N,taken alive,philip marcus,bobb hopkins; christopher holmes; donna jeffries; franco columbu
tt0168581,\N,\N,\N,"the chosen prince, or the friendship of david and jonathan",william v mong,\N,"the chosen prince, or the friendship of david and jonathan",william v mong,lyman i henry,\N,\N,\N
tt0168584,the cigarette girl,william parke,\N,the cigarette girl,william parke,\N,the cigarette girl,william parke,\N,the cigarette girl,william parke,philip bartholomae
tt0168631,innocents,gregory marquette,gregory marquette,dark summer,gregory marquette,\N,innocents,gregory marquette,gregory marquette,innocents,gregory marquette,gregory marquette
tt0168722,dum ztraceneho stesti,josef rovensky,josef rovensky; martin fric,\N,\N,\N,dum ztraceneho stesti,josef rovensky,\N,dum ztraceneho stesti,josef rovensky,josef rovensky; martin fric
tt0169004,mazlicek,martin fric,hugo haas; martin fric,the little pet,martin fric,hugo haas; martin fric,mazlicek,martin fric,\N,mazlicek,martin fric,hugo haas; martin fric
tt0169062,"my dog, buddy",ray kellogg,ray kellogg,"my dog, buddy",ray kellogg,\N,"my dog, buddy",ray kellogg,ray kellogg,"my dog, buddy",ray kellogg,ray kellogg
tt0169307,\N,\N,\N,cheyenne trails,robert j horner,\N,cheyenne trails,robert j horner,bert ames; robert j horner,\N,\N,\N
tt0169975,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
tt0170336,a child of community,mladomir purisa orevic,miodrag urevic; mladomir purisa orevic,opstinsko dete,mladomir purisa orevic,\N,a child of community,mladomir purisa orevic,\N,a child of community,mladomir purisa orevic,miodrag urevic; mladomir purisa orevic
tt0170407,pizza king,ole christian madsen,\N,pizza king,ole christian madsen,lars k andersen; ole christian madsen,pizza king,ole christian madsen,janus nabil bakrawi; lars kristian andersen; ole christian madsen,pizza king,ole christian madsen,\N
tt0170483,pa spaning,ulf von strauss,ulf von strauss,\N,ulf von strauss,\N,pa spaning...,ulf von strauss,ulf von strauss,pa spaning,ulf von strauss,ulf von strauss
tt0170494,\N,\N,\N,\N,arne brandhild,\N,rapport fran stockholms sextrask,arne brandhild,\N,rapport fran stockholms sextrask,arne brandhild,\N
tt0170648,\N,\N,\N,\N,\N,\N,szervezes kerdese,ferenc andras,\N,\N,\N,\N
tt0171388,hyena of london,gino mangini,gino mangini,the hyena of london,gino mangini,\N,hyena of london,gino mangini,\N,hyena of london,gino mangini,gino mangini
tt0172299,duty and sacrifice,ion sahighian,\N,duty and sacrifice,ion sahighian,\N,duty and sacrifice,ion sahighian,\N,duty and sacrifice,ion sahighian,\N
tt0172723,\N,\N,\N,\N,\N,\N,lichtspieler,benjamin herrmann; bjorn kurt,\N,\N,\N,\N
tt0173390,sugar town,allison anders; kurt voss,allison anders; kurt voss,sugar town,allison anders; kurt voss,allison anders,sugar town,allison anders; kurt voss,\N,sugar town,allison anders; kurt voss,allison anders; kurt voss
tt0174073,nona,grisha ostrovski,stefan tsanev; yordan yovkov,\N,grisha ostrovski,stefan tsanev,nona,grisha ostrovski,\N,nona,grisha ostrovski,stefan tsanev; yordan yovkov
tt0174131,the other woman,ivan pyryev,anatoli marienhof; nikolay erdman,\N,ivan pyryev,anatoly marienhof; nikolai erdman,the other woman,ivan pyryev,\N,the other woman,ivan pyryev,anatoli marienhof; nikolay erdman
tt0174280,\N,\N,\N,\N,\N,\N,trial marriage,william hughes curran,\N,\N,\N,\N
tt0174993,about show-white,vera plivovasimkova,frantisek pavlicek; vera plivovasimkova,snow white,drahomira kralova; vera plivovasimkova,vera plivovasimkova,about show-white,vera plivovasimkova,\N,about show-white,vera plivovasimkova,vera plivovasimkova
tt0175267,two-fisted jefferson,roy clements,roy clements,two-fisted jefferson,roy clements,\N,two-fisted jefferson,roy clements,\N,two-fisted jefferson,roy clements,\N
tt0175721,\N,\N,\N,\N,\N,\N,her good name,george terwilliger,edfrid a bingham; horace hazeltine,\N,\N,\N
tt0175848,let's have a murder,john e blakeley,john e blakeley,let's have a murder,john e blakeley,\N,let's have a murder,john e blakeley,\N,let's have a murder,john e blakeley,harry jackson; robert taylor
tt0175892,"on tuesdays, orchids",francisco mugica,carlos olivari; francisco oyarzabal; sixto pondal rios,"los martes, orquideas",francisco mugica,\N,"on tuesdays, orchids",francisco mugica,carlos a olivari; francisco oyarzabal; sixto pondal rios,"on tuesdays, orchids",francisco mugica,carlos olivari; francisco oyarzabal; sixto pondal rios
tt0175936,\N,\N,\N,\N,\N,\N,los martires del arroyo,\N,luis del val,\N,\N,\N
tt0176485,\N,\N,\N,\N,\N,\N,backdoor to hollywood 6,ron jeremy,\N,\N,\N,\N
tt0176539,\N,\N,\N,\N,\N,\N,beyond all means,\N,\N,\N,\N,\N
tt0176648,\N,\N,\N,\N,\N,\N,decrescendo,vincent oudendijk,\N,\N,\N,\N
tt0177159,ratrace,valentin hitz,\N,\N,\N,\N,ratrace,valentin hitz,valentin hitz,ratrace,valentin hitz,\N
tt0177845,hotel splendide,terence gross,terence gross,hotel splendide,terence gross,terence gross,hotel splendide,terence gross,terence gross,hotel splendide,terence gross,terence gross
tt0178294,capitan veneno,henri martinent,enrique amorim; ramon gomez macia,captain poison,henri martinent,\N,capitan veneno,henri martinent,\N,capitan veneno,henri martinent,enrique amorim; ramon gomez macia
tt0178393,\N,\N,\N,\N,\N,\N,les droits humains et l'alimentation,roger cardinal,\N,\N,\N,\N
tt0178506,challenge of the gladiator,domenico paolella,alessandro ferrau; domenico paolella,challenge of the gladiator,domenico paolella,domenico paolella,challenge of the gladiator,domenico paolella,\N,challenge of the gladiator,domenico paolella,alessandro ferrau; domenico paolella
tt0178850,psique y sexo,dino minniti; enrique cahen salaberry; ernesto bianco; manuel antin,ernesto bianco; mariucha y lugano,psique y sexo,enrique cahen salaberry; ernesto bianco; manuel antin,\N,psique y sexo,dino minniti; enrique cahen salaberry; ernesto bianco; manuel antin,\N,psique y sexo,dino minniti; enrique cahen salaberry; ernesto bianco; manuel antin,ernesto bianco; mariucha y lugano
tt0178930,the third kiss,luis cesar amadori,luis cesar amadori,the third kiss,luis cesar amadori,luis cesar amadori,\N,\N,\N,the third kiss,luis cesar amadori,luis cesar amadori
tt0178966,a cia cinematografica vera cruz,jeanclaude bernardet; joao batista de andrade,\N,\N,\N,\N,a cia cinematografica vera cruz,jeanclaude bernardet; joao batista de andrade,\N,a cia cinematografica vera cruz,jeanclaude bernardet; joao batista de andrade,\N
tt0178970,rape,pierre chevalier,marius lesoeur; pierre chevalier,rape: the great fear,pierre chevalier,\N,"viol, la grande peur",pierre chevalier,marius lesoeur; pierre chevalier,rape,pierre chevalier,marius lesoeur; pierre chevalier
tt0178986,where the north holds sway,bennett cohen,bennett cohen; evan merritt post,\N,\N,\N,where north holds sway,bennett cohen,\N,where north holds sway,bennett cohen,bennett cohen
tt0179664,el baisano jalil,joaquin pardave,adolfo fernandez bustamante,el baisano jalil,joaquin pardave; roberto gavaldon,adolfo fernandez bustamante,el baisano jalil,joaquin pardave,\N,el baisano jalil,joaquin pardave,joaquin pardave
tt0179696,"...but then, she's betty carter",michelle parkerson,michelle parkerson,\N,\N,\N,\N,\N,\N,"...but then, she's betty carter",michelle parkerson,michelle parkerson
tt0179886,io con te non ci sto piu,gianni amico,enzo ungari; francesco tullio altan; gianni amico,io con te non ci sto piu,gianni amico,francesco tullio altan,io con te non ci sto piu,gianni amico,\N,io con te non ci sto piu,gianni amico,enzo ungari; francesco tullio altan; gianni amico
tt0180467,babylon pink iii,henri pachard,henri pachard,\N,\N,\N,babylon pink iii,henri pachard,\N,babylon pink iii,henri pachard,henri pachard
tt0180669,a funny girl,takis vougiouklakis,lakis mihailidis,joy and tears,takis vougiouklakis,lakis michaelides,a funny girl,takis vougiouklakis,\N,a funny girl,takis vougiouklakis,lakis mihailidis
tt0180725,the war of pelados,sylvio back,\N,a guerra dos pelados,sylvio back,\N,the war of pelados,sylvio back,\N,the war of pelados,sylvio back,\N
tt0180749,and the woman shall fear her husband,yorgos tzavellas,yorgos tzavellas,and the wife shall revere her husband,giorgos tzavellas,giorgos tzavellas,and the woman shall fear her husband,yorgos tzavellas,\N,and the woman shall fear her husband,yorgos tzavellas,yorgos tzavellas
tt0181335,"cada hogar, un mundo",carlos f borcosque,\N,"cada hogar, un mundo",carlos f borcosque,carlos a petit,"cada hogar, un mundo",carlos f borcosque,\N,"cada hogar, un mundo",carlos f borcosque,\N
tt0181633,kiss the girls,giannis dalianidis,giannis dalianidis,kiss the girls,yannis dalianidis,yannis dalianidis,kiss the girls,giannis dalianidis,\N,kiss the girls,giannis dalianidis,giannis dalianidis
tt0181686,mientras haya un circo,carlos f borcosque,carlos f borcosque,mientras haya un circo,carlos f borcosque,\N,mientras haya un circo,carlos f borcosque,\N,mientras haya un circo,carlos f borcosque,carlos f borcosque
tt0181689,minority report,steven spielberg,jon cohen; scott frank,minority report,steven spielberg,jon cohen; scott frank,minority report,steven spielberg,jon cohen; philip k dick; scott frank,minority report,steven spielberg,jon cohen; scott frank
tt0181764,\N,\N,\N,\N,\N,\N,"lia, rispondi",jose quaglio,jose quaglio; turi vasile,\N,\N,\N
tt0181998,carnaval atlantida,jose carlos burle,berliet jr; jose carlos burle; victor lima,carnaval atlantida,jose carlos burle,\N,carnaval atlantida,jose carlos burle,\N,carnaval atlantida,jose carlos burle,berliet jr; jose carlos burle; victor lima
tt0183285,irresistible ii,gary graver,\N,\N,\N,\N,irresistible ii,gary graver,\N,irresistible ii,gary graver,\N
tt0183301,jewel of the nite,\N,jacques khoulter,\N,\N,\N,jewel of the nite,\N,\N,\N,\N,\N
tt0183337,kaplanlar,cetin inanc; cuneyt arkn,cuneyt arkn,kaplanlar,cetin inanc; cuneyt arkn,\N,kaplanlar,cetin inanc; cuneyt arkn,\N,kaplanlar,cetin inanc; cuneyt arkn,cuneyt arkn
tt0183384,lsd flesh of devil,massimo mida,bruno baratti; massimo mida; odoardo fiory; tiziano cortini; vittorio orano,lsd flesh of devil,\N,\N,lsd flesh of devil,massimo mida,bruno baratti; odoardo fiory; tiziano cortini,lsd flesh of devil,massimo mida,bruno baratti; massimo mida; odoardo fiory
tt0183787,\N,\N,\N,\N,\N,\N,silverbelt,\N,\N,\N,\N,\N
tt0183951,"people, years, life",angela ricci lucchi; yervant gianikian,angela ricci lucchi; yervant gianikian,\N,\N,\N,"people, years, life",angela ricci lucchi; yervant gianikian,\N,"people, years, life",angela ricci lucchi; yervant gianikian,angela ricci lucchi; yervant gianikian
tt0184060,you are here,tom rooney,tom rooney,\N,\N,\N,you are here,tom rooney,\N,you are here,tom rooney,tom rooney
tt0184440,enigma for demons,carlos hugo christensen,carlos hugo christensen,enigma para demonios,carlos hugo christensen,\N,enigma for demons,carlos hugo christensen,\N,enigma for demons,carlos hugo christensen,carlos hugo christensen; origenes lessa
tt0185287,don bildigerno en pago milagro,antonio ber ciani,yamandu rodriguez,don bildigerno de pago milagro,antonio ber ciani,\N,don bildigerno en pago milagro,antonio ber ciani,\N,don bildigerno en pago milagro,antonio ber ciani,yamandu rodriguez
tt0185925,\N,\N,\N,\N,\N,\N,big busty 47,\N,\N,\N,\N,\N
tt0186071,i killed lucio flavio,antonio calmon,alberto magno; leopoldo serran,eu matei lucio flavio,antonio calmon,\N,eu matei lucio flavio,antonio calmon,alberto magno; leopoldo serran,i killed lucio flavio,antonio calmon,alberto magno; leopoldo serran
tt0186103,\N,\N,\N,\N,\N,\N,jue dai ying xiong,shengyu hsu,lung ku; shengyu hsu,\N,\N,\N
tt0186240,the invisibles,noah stern,noah stern,\N,\N,\N,the invisibles,noah stern,noah stern,the invisibles,noah stern,noah stern
tt0186601,the naughty girl,ting shanhsi,ting shanhsi,\N,\N,\N,the naughty girl,ting shanhsi,\N,the naughty girl,ting shanhsi,ting shanhsi
tt0186626,to you with love,sung tsun shou,sung hsiangyu,\N,\N,\N,to you with love,sung tsun shou,\N,to you with love,sung tsun shou,sung hsiangyu
tt0186725,zatoichi's cane sword,kimiyoshi yasuda,ryozo kasahara,zatoichi's cane sword,kimiyoshi yasuda,ryozo kasahara,zatoichi's cane sword,kimiyoshi yasuda,kan shimozawa; ryozo kasahara,zatoichi's cane sword,kimiyoshi yasuda,ryozo kasahara
tt0186794,thaayillamal naanillai,r thyagarajan,sandow mma chinnappa devar,thaayillamal naan illai,r thyagarajan,\N,thaayillamal naanillai,r thyagarajan,\N,thaayillamal naanillai,r thyagarajan,sandow mma chinnappa devar; thooyavan
tt0187097,\N,\N,\N,\N,\N,\N,greatest fights of martial arts,\N,\N,\N,\N,\N
tt0187363,oss 77 - operation lotus flower,bruno paolinelli,bruno paolinelli; claudio biondi,oss 77 operazione fior di loto,bruno paolinelli,\N,oss 77 - operation lotus flower,bruno paolinelli,\N,oss 77 - operation lotus flower,bruno paolinelli,bruno paolinelli; claudio biondi
tt0187401,pilot premnath,a c tirulokchandar,\N,pilot premnath,a c tirulokchandar,a c tirulokchandar,pilot premnath,a c tirulokchandar,\N,pilot premnath,a c tirulokchandar,\N
tt0187477,\N,\N,\N,\N,\N,\N,sandhya,a kodandarami reddy,ashapurna devi; jandhyala,\N,\N,\N
tt0188204,un soltero en apuros,alberto dubois,pastor y rojas,\N,alberto du bois,\N,un soltero en apuros,alberto dubois,\N,un soltero en apuros,alberto dubois,pastor y rojas
tt0188309,the education in love of valentin,jean lhote,\N,l'education amoureuse de valentin,jean lhote,jean lhote,the education in love of valentin,jean lhote,\N,the education in love of valentin,jean lhote,\N
tt0188442,part-time lifeguards,carlos galettini,salvador valverde calvo,los baneros mas locos del mundo,carlos galettini,\N,los baneros mas locos del mundo,carlos galettini,salvador valverde calvo,part-time lifeguards,carlos galettini,salvador valverde calvo
tt0188524,couturier de mon coeur,raymond de cesse; rene jayet,\N,\N,rene jayet,\N,couturier de mon coeur,raymond de cesse; rene jayet,\N,couturier de mon coeur,raymond de cesse; rene jayet,\N
tt0188728,\N,\N,\N,\N,\N,\N,just boys,\N,\N,\N,\N,\N
tt0189219,spring in a small town,fei mu,li tianji,spring in a small town,fei mu,li tianji,spring in a small town,mu fei,tianji li,spring in a small town,fei mu,li tianji
tt0189427,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
tt0189448,courage for two,dell henderson,hamilton smith,courage for two,dell henderson,\N,\N,\N,\N,courage for two,dell henderson,harry o hoyt
tt0189658,lola's lolos,bernard dubois,\N,les lolos de lola,bernard dubois,bernard dubois,lola's lolos,bernard dubois,\N,lola's lolos,bernard dubois,\N
tt0189742,\N,\N,\N,\N,\N,\N,misadventures of the bang gang,peter strong,andrew dillion,\N,\N,\N
tt0189762,a moreninha,glauco mirko laurelli,glauco mirko laurelli,a moreninha,glauco mirko laurelli,\N,a moreninha,glauco mirko laurelli,claudio petraglia; glauco mirko laurelli; miroel silveira,a moreninha,glauco mirko laurelli,claudio petraglia; glauco mirko laurelli; miroel silveira
tt0189889,"paraiba, vida e morte de um bandido",victor lima,victor lima,"paraiba, vida e morte de um bandido",victor lima,\N,"paraiba, vida e morte de um bandido",victor lima,\N,"paraiba, vida e morte de um bandido",victor lima,victor lima
tt0189953,\N,\N,\N,\N,\N,\N,puzzles of blue,christian giornelli,\N,\N,\N,\N
tt0190151,\N,\N,\N,winning grandma,william bertram,clara beranger,winning grandma,william bertram,bertram george; clara beranger; jack cunningham,\N,\N,\N
tt0190380,\N,\N,\N,\N,\N,\N,the embrace,rachel gordon,bud robertson; rachel gordon,\N,\N,\N
